epoch,train_s1_loss,train_s1_ce,train_s1_kd,train_s1_feature,alpha,beta,gamma,temperature
1,9.955450293506205,7.106248939246462,0.8029714121750975,60.00840026003468,0.5,0.5,0.1,3.0
2,3.1831150318768664,5.153750343683116,0.6324273789862068,2.90026175316207,0.5,0.5,0.1,3.0
3,2.8261129682363286,4.717988093372298,0.5999772864395146,1.6713027796442852,0.5,0.5,0.1,3.0
4,2.6241133377136974,4.452742029941677,0.5768889908888722,1.0929782191510142,0.5,0.5,0.1,3.0
5,2.4933603241054314,4.263931479048632,0.5612012416365658,0.8079396948801522,0.5,0.5,0.1,3.0
6,2.4021688064261166,4.1198942175439175,0.5534847289243369,0.6547933399838153,0.5,0.5,0.1,3.0
7,2.333470153422491,4.017412479750702,0.5331735861727744,0.5817712426346484,0.5,0.5,0.1,3.0
8,2.2676739840694125,3.9171942004308042,0.5226876453952751,0.4773305570065734,0.5,0.5,0.1,3.0
9,2.220108586766942,3.8391738665087827,0.5131586923813208,0.4394230882206105,0.5,0.5,0.1,3.0
10,2.166622141755705,3.7474615580318105,0.5110794606237758,0.3735163487323061,0.5,0.5,0.1,3.0
11,2.116486948350502,3.6644955215505584,0.5026098104060581,0.32934282533070336,0.5,0.5,0.1,3.0
12,2.0770887937622997,3.6029624266502185,0.49175104557180854,0.2973205622753151,0.5,0.5,0.1,3.0
13,2.036773426008289,3.5320880374445123,0.48949367290566326,0.2598257168785602,0.5,0.5,0.1,3.0
14,1.993465754506398,3.455343711070525,0.4851245882137906,0.2323160643479441,0.5,0.5,0.1,3.0
15,1.96489241843925,3.4071608397320374,0.47687423750054336,0.22874879722411817,0.5,0.5,0.1,3.0
16,1.9299347946035716,3.348275129289923,0.46822924668650556,0.2168260573456001,0.5,0.5,0.1,3.0
17,1.880345003807593,3.261420889582872,0.45803583247458884,0.2061664529657557,0.5,0.5,0.1,3.0
18,1.8174693754970948,3.148810151778413,0.4466286232234978,0.19749990115683733,0.5,0.5,0.1,3.0
19,1.7531802216683001,3.0350651544758827,0.4325596592043415,0.19367817416284408,0.5,0.5,0.1,3.0
20,1.672780381362287,2.8847447619264424,0.42183946992060756,0.19488268445136575,0.5,0.5,0.1,3.0
21,1.6069427413335535,2.7649886694996946,0.40768092001980616,0.20607945278749454,0.5,0.5,0.1,3.0
22,1.5505381148514639,2.663961340380423,0.3938713417201229,0.21621773149642223,0.5,0.5,0.1,3.0
23,1.4809645277607617,2.53692333933152,0.3815465486644894,0.21729586461455877,0.5,0.5,0.1,3.0
24,1.4268740327091192,2.440030396225964,0.3705787299535213,0.21569472565422496,0.5,0.5,0.1,3.0
25,1.3641183244393744,2.326100701584346,0.3608250984175485,0.20655425345366782,0.5,0.5,0.1,3.0
26,1.3197792764456489,2.249722163525992,0.34953676025394487,0.20149817519824997,0.5,0.5,0.1,3.0
27,1.2520511294344336,2.126091353806407,0.34027193295649993,0.1886948372027491,0.5,0.5,0.1,3.0
28,1.2079424059342758,2.050396702067572,0.3293666050903871,0.18060752899259047,0.5,0.5,0.1,3.0
29,1.1628699469984622,1.9733464277064108,0.3188769670150541,0.16758251480768244,0.5,0.5,0.1,3.0
30,1.096260025353245,1.8558655846939396,0.3063490118896752,0.15152727424414694,0.5,0.5,0.1,3.0
31,1.0466637353987185,1.7725536424299644,0.2921679400400272,0.14302943279908897,0.5,0.5,0.1,3.0
32,1.0098226751714905,1.715842118951795,0.277523275449691,0.1313997881534772,0.5,0.5,0.1,3.0
33,0.9578564127608028,1.6305929771479968,0.2610738210269475,0.12023014424421527,0.5,0.5,0.1,3.0
34,0.9030727933936434,1.539499756858738,0.24493971627894362,0.10853056438699586,0.5,0.5,0.1,3.0
35,0.9115031052697525,1.5724378594180994,0.22873802879239544,0.10915160155509487,0.5,0.5,0.1,3.0
36,0.7948457413678549,1.3605300055341683,0.2111377323124251,0.09011874866248304,0.5,0.5,0.1,3.0
37,0.7968355898271527,1.380033150053861,0.19537725795296684,0.09130386428030235,0.5,0.5,0.1,3.0
38,0.7911967347186265,1.382329982382405,0.18222328348841904,0.08920100860187077,0.5,0.5,0.1,3.0
39,0.7311446867008441,1.276346318715336,0.17027971218874258,0.07831671739979955,0.5,0.5,0.1,3.0
40,0.7380751721691667,1.2998266516909425,0.15994955420333204,0.08187070057077607,0.5,0.5,0.1,3.0
41,0.6922208755283381,1.2196433234472184,0.15057040344767886,0.07114012137698902,0.5,0.5,0.1,3.0
42,0.6860149493503828,1.2146737332607893,0.14321529060883723,0.07070436833398706,0.5,0.5,0.1,3.0
43,0.6542556267759578,1.1596923650678514,0.13528094185307601,0.0676897281024218,0.5,0.5,0.1,3.0
44,0.638891280944209,1.1358170120017892,0.12935331618657156,0.06306116572014395,0.5,0.5,0.1,3.0
45,0.6159713830542468,1.0963770429454192,0.12334748171521263,0.061091189728936686,0.5,0.5,0.1,3.0
46,0.6124014854431152,1.093378847748966,0.11909722984239318,0.06163447207234569,0.5,0.5,0.1,3.0
47,0.634173677075408,1.1396169437248858,0.11644188721894252,0.061442619951268436,0.5,0.5,0.1,3.0
48,0.6020487313248046,1.080059878538173,0.11250595456836356,0.05765816653536962,0.5,0.5,0.1,3.0
49,0.5704680255710998,1.0214295894832586,0.10877141780779269,0.05367523014505222,0.5,0.5,0.1,3.0
50,0.6168046097765084,1.1137585099409466,0.10787764374624219,0.05986532229080535,0.5,0.5,0.1,3.0
51,0.5773674768877094,1.0402566778917222,0.10398950216620557,0.05244384752020904,0.5,0.5,0.1,3.0
52,0.5715841835568308,1.0306239713702285,0.10242190376909477,0.05061245731526782,0.5,0.5,0.1,3.0
53,0.6121287570710767,1.1123094634729842,0.10099879956921103,0.05474624922813272,0.5,0.5,0.1,3.0
54,0.5765405967731064,1.0444229713737885,0.0983304412238672,0.051638900210600795,0.5,0.5,0.1,3.0
55,0.5368217646110396,0.9681948198158892,0.09606996314366337,0.046893721607271156,0.5,0.5,0.1,3.0
56,0.5276369247359303,0.952027396111675,0.09386237673511712,0.04692037537311896,0.5,0.5,0.1,3.0
57,0.5750728478396309,1.0463601657253527,0.09374631773403942,0.05019604888029507,0.5,0.5,0.1,3.0
58,0.5646101046911618,1.0271571124533088,0.09232551419501685,0.04868791208385054,0.5,0.5,0.1,3.0
59,0.5523392134993343,1.0049966741026493,0.09076326087056867,0.0445924612885786,0.5,0.5,0.1,3.0
60,0.5763276081416611,1.0522261965773527,0.09088045616059812,0.04774281863429849,0.5,0.5,0.1,3.0
61,0.5663765125107347,1.0340583949838733,0.08957253719269023,0.04561045499676876,0.5,0.5,0.1,3.0
62,0.5554217232866325,1.0138310233430181,0.08803155750800402,0.04490435414277671,0.5,0.5,0.1,3.0
63,0.5672262911251199,1.03820901473685,0.08714493704952209,0.04549315649206661,0.5,0.5,0.1,3.0
64,0.5376552480113329,0.980772168087734,0.08607551737031152,0.042314050276732317,0.5,0.5,0.1,3.0
65,0.5369567590364721,0.9798104952462772,0.0857005123747827,0.042012565790621535,0.5,0.5,0.1,3.0
66,0.5376845413213156,0.9822527605753678,0.08479189542945419,0.04162214394010272,0.5,0.5,0.1,3.0
67,0.5204380656543531,0.9495923331311518,0.08344852145102664,0.03917638337875587,0.5,0.5,0.1,3.0
68,0.5139110270942915,0.9370286408384481,0.08292818975392302,0.03932610287880286,0.5,0.5,0.1,3.0
69,0.5242395335443911,0.958311479865459,0.08247057036792058,0.03848508248726527,0.5,0.5,0.1,3.0
70,0.5135749534234988,0.93714000061456,0.08225684155497634,0.03876532448830231,0.5,0.5,0.1,3.0
71,0.5361397777572173,0.9824294311154066,0.08208402653454769,0.0388304789081799,0.5,0.5,0.1,3.0
72,0.5278027123405866,0.9669391711552938,0.0812251781403777,0.037205371955427245,0.5,0.5,0.1,3.0
73,0.5300862482885922,0.9717142890017686,0.08112304308797344,0.03667580819463762,0.5,0.5,0.1,3.0
74,0.5464111282798121,1.003460065837492,0.08178133487339445,0.03790426669534241,0.5,0.5,0.1,3.0
75,0.5573413231474186,1.0256715737051971,0.08136697186913729,0.0382205106936365,0.5,0.5,0.1,3.0
76,0.5522036363801814,1.0157689206432878,0.08137702413013911,0.03630663903854918,0.5,0.5,0.1,3.0
77,0.5168609977894627,0.9465671644197945,0.08014923164196182,0.03502800043888501,0.5,0.5,0.1,3.0
78,0.5239605457193939,0.9616657655972701,0.07945775581516235,0.033987848094429486,0.5,0.5,0.1,3.0
79,0.5441506125143504,1.0013158259041075,0.08015395685849402,0.03415720333193156,0.5,0.5,0.1,3.0
80,0.5183104936651856,0.9507030034274385,0.07958614947865045,0.03165917536407186,0.5,0.5,0.1,3.0
81,0.5576734706940438,1.0284981046691437,0.0798988597977821,0.034749890744243714,0.5,0.5,0.1,3.0
82,0.5358783712311473,0.985962609208708,0.07919886246745886,0.03297634778592067,0.5,0.5,0.1,3.0
83,0.5293867745701922,0.9731500705404964,0.07934428503115971,0.031395960773885574,0.5,0.5,0.1,3.0
84,0.5117567423705952,0.9389492591463442,0.07847160613729887,0.03046311171255332,0.5,0.5,0.1,3.0
85,0.5341862124389644,0.9828146842890262,0.07908724427384081,0.03235249574372844,0.5,0.5,0.1,3.0
86,0.49271893288120727,0.9017162099380082,0.07799018223678213,0.02865736019595271,0.5,0.5,0.1,3.0
87,0.5205422512955672,0.9564448821480297,0.0786287356947276,0.030054428942712694,0.5,0.5,0.1,3.0
88,0.5321388338942599,0.9792801443784022,0.07894173221267992,0.03027894286194995,0.5,0.5,0.1,3.0
89,0.524010686678925,0.9637471918071974,0.07839751137010803,0.029383345757197595,0.5,0.5,0.1,3.0
90,0.5425865757561888,1.001046600652288,0.07818174627628403,0.02972399638450419,0.5,0.5,0.1,3.0
91,0.514798032650259,0.9462042529734201,0.07780439296030967,0.02793708915335809,0.5,0.5,0.1,3.0
92,0.5068189281764139,0.9302257000997803,0.07794160675383129,0.027352748123247693,0.5,0.5,0.1,3.0
93,0.5423920552136927,1.0002028093083828,0.0787745101450265,0.029033953653253845,0.5,0.5,0.1,3.0
94,0.5449153226517472,1.006050907970279,0.07802318179333902,0.028782770263883265,0.5,0.5,0.1,3.0
95,0.5111419002295505,0.9402883607446745,0.07663770740934711,0.026788652179493756,0.5,0.5,0.1,3.0
96,0.518860616141807,0.9549036203367025,0.07734828241239836,0.02734664716228702,0.5,0.5,0.1,3.0
97,0.5056553476775384,0.9294850485205811,0.07667818372910805,0.02573731282849101,0.5,0.5,0.1,3.0
98,0.5412878188205312,0.9996340466253509,0.07750698033212489,0.027173055740583603,0.5,0.5,0.1,3.0
99,0.5295476841057843,0.9763087249799618,0.07734397116560845,0.027213357273343442,0.5,0.5,0.1,3.0
100,0.5226276508468365,0.9628785631032447,0.07708241166132182,0.026471631895554692,0.5,0.5,0.1,3.0
101,0.5132061485175984,0.9449967239630206,0.07640289623345602,0.025063380592737685,0.5,0.5,0.1,3.0
102,0.5399152446895155,0.997146110182349,0.07730970649845526,0.02687336597465954,0.5,0.5,0.1,3.0
103,0.5356094153062535,0.9890048293127865,0.07719631555431124,0.025088421717617916,0.5,0.5,0.1,3.0
104,0.5093195456885776,0.9376963546723328,0.07609047681877487,0.02426129720687826,0.5,0.5,0.1,3.0
105,0.5127964551471345,0.9449213385260218,0.07589452606644707,0.02388522181504088,0.5,0.5,0.1,3.0
106,0.5356965863350753,0.989179266568942,0.07718308579664321,0.025154085485478324,0.5,0.5,0.1,3.0
107,0.5298795453128222,0.9779825196896809,0.0768347768447338,0.02470897298994978,0.5,0.5,0.1,3.0
108,0.5214087749943238,0.9615324439629208,0.07641769210618195,0.02433707054915578,0.5,0.5,0.1,3.0
109,0.5282319493782826,0.974801024605549,0.0768755520423736,0.023936608825105163,0.5,0.5,0.1,3.0
110,0.5450433716278488,1.008206774911739,0.07690614100430015,0.024869138002898368,0.5,0.5,0.1,3.0
111,0.5004686964185614,0.9214958974063477,0.07507431635308845,0.021835899021974216,0.5,0.5,0.1,3.0
112,0.5548974249446601,1.0277178805527578,0.07724147427741654,0.024177477917509523,0.5,0.5,0.1,3.0
113,0.5186635835169137,0.9567230926592823,0.07596502552128193,0.023195251055795816,0.5,0.5,0.1,3.0
114,0.5199582179387411,0.9600219817457573,0.07546377145809684,0.022153408846009758,0.5,0.5,0.1,3.0
115,0.5125113321862883,0.9448559674737264,0.07574021209951354,0.02213243770509878,0.5,0.5,0.1,3.0
116,0.5188035977031538,0.9570834137569716,0.07610478515607304,0.022094989570006024,0.5,0.5,0.1,3.0
117,0.49619790867433533,0.9129239100756754,0.07537400466609902,0.020489503907268506,0.5,0.5,0.1,3.0
118,0.5284765587765196,0.9765926854089204,0.07592986912721725,0.022152821429063756,0.5,0.5,0.1,3.0
119,0.5641197934244004,1.0467960406572392,0.07693559851864411,0.02253973585466745,0.5,0.5,0.1,3.0
120,0.5242193313504038,0.9685045439302519,0.07577628504570358,0.020789174061374142,0.5,0.5,0.1,3.0
121,0.5086054450426346,0.9380485372826477,0.07512475070059701,0.02018799787882449,0.5,0.5,0.1,3.0
122,0.527412603298823,0.9746361159280887,0.0759239581673734,0.02132566003367687,0.5,0.5,0.1,3.0
123,0.5353665520586627,0.990323435721288,0.07612055457133031,0.021445562125418673,0.5,0.5,0.1,3.0
124,0.5395518135525759,0.9985681393770715,0.07642244984987777,0.020565181898956116,0.5,0.5,0.1,3.0
125,0.5193251979294737,0.958615411711447,0.07605638299715503,0.01989299908039058,0.5,0.5,0.1,3.0
126,0.5544117058497853,1.0273956555908348,0.07725567990026654,0.020860377915314175,0.5,0.5,0.1,3.0
127,0.5279145442281175,0.9754907395916912,0.07647753928696256,0.019304058246827318,0.5,0.5,0.1,3.0
128,0.5407474969240978,1.001043357829816,0.0764932610275533,0.01979189156711745,0.5,0.5,0.1,3.0
129,0.530390050488445,0.980897481785773,0.07609831702150154,0.018921515708299058,0.5,0.5,0.1,3.0
130,0.5434120845416619,1.0063391249832998,0.07659415616660144,0.019454440095696936,0.5,0.5,0.1,3.0
131,0.5309246535162855,0.9819339905914507,0.07605704044302304,0.019291394239344336,0.5,0.5,0.1,3.0
132,0.5583175446099116,1.0355885147083144,0.07722101155945003,0.019127808188247858,0.5,0.5,0.1,3.0
133,0.5113298161792369,0.9435858708402889,0.07571408500977855,0.016798383892512554,0.5,0.5,0.1,3.0
134,0.5518134581415277,1.0226216143281193,0.07717936257762625,0.019129691482113118,0.5,0.5,0.1,3.0
135,0.5556874635570285,1.0299568716009297,0.07778507810935639,0.018164870535323896,0.5,0.5,0.1,3.0
136,0.5537089460533158,1.025854714848252,0.07784576592376197,0.018587068525770134,0.5,0.5,0.1,3.0
137,0.5354049066219896,0.9900984057048072,0.07724654391991143,0.01732432860353215,0.5,0.5,0.1,3.0
138,0.5658988077470004,1.0492254481141867,0.07884105787626323,0.018655554987816958,0.5,0.5,0.1,3.0
139,0.5371373695561439,0.9932967616237609,0.07758503682237727,0.016964713080098674,0.5,0.5,0.1,3.0
140,0.5407898890183844,1.0009013393066835,0.07743022668297313,0.016241061134206057,0.5,0.5,0.1,3.0
141,0.544955577344386,1.008216551400711,0.07832584025365942,0.01684381648855392,0.5,0.5,0.1,3.0
142,0.5559433063997431,1.029860028089621,0.0785750677851852,0.01725756634572237,0.5,0.5,0.1,3.0
143,0.5279990809689328,0.9752116748276349,0.07753306082305317,0.01626714587578608,0.5,0.5,0.1,3.0
144,0.5257617650445495,0.9706972424398389,0.07767557114483374,0.015753584385405868,0.5,0.5,0.1,3.0
145,0.5346926184479203,0.9881777975321138,0.07799941796040245,0.016040100617392063,0.5,0.5,0.1,3.0
146,0.5515259130683183,1.0206834764374413,0.07909941288181323,0.016344680462168297,0.5,0.5,0.1,3.0
147,0.5375876352894805,0.9934354766740812,0.07864568917415081,0.015470517304061075,0.5,0.5,0.1,3.0
148,0.5898265350363676,1.0951950136627424,0.08101886049335302,0.017195980726928524,0.5,0.5,0.1,3.0
149,0.5426356729306029,1.0026068261116945,0.07956538980829249,0.015495655642176366,0.5,0.5,0.1,3.0
150,0.5347981940396884,0.987228635633201,0.07936878265076482,0.014994839055516459,0.5,0.5,0.1,3.0
151,0.5518953008690344,1.0204206738475203,0.08021044188182846,0.015797458712876286,0.5,0.5,0.1,3.0
152,0.5592019204025166,1.034416751139238,0.0809459409572174,0.015205750426631949,0.5,0.5,0.1,3.0
153,0.5616177945484516,1.0384597759417356,0.08171402912350641,0.01530890726747039,0.5,0.5,0.1,3.0
154,0.5591683164942763,1.0332733078202416,0.08200844018324184,0.01527442084122625,0.5,0.5,0.1,3.0
155,0.5548494887335902,1.0246107527601573,0.0821116289146516,0.01488297136359711,0.5,0.5,0.1,3.0
156,0.5809013465477226,1.0752847999454993,0.08344016066286085,0.015388679588226132,0.5,0.5,0.1,3.0
157,0.5622335402508657,1.0377278974664357,0.08366870325103945,0.01535241504598223,0.5,0.5,0.1,3.0
158,0.5592095256656127,1.0311863286855572,0.08417185306468634,0.015304338005365108,0.5,0.5,0.1,3.0
159,0.572757188165397,1.0573733542692645,0.08510672195478972,0.015171500911380639,0.5,0.5,0.1,3.0
160,0.5653179041367633,1.042035032621762,0.08561838996394282,0.014911927756640995,0.5,0.5,0.1,3.0
161,0.5838756878205478,1.077936045071374,0.08677273555363399,0.015212961541697403,0.5,0.5,0.1,3.0
162,0.5889084076511394,1.087283722181552,0.0875052285962581,0.015139322058648354,0.5,0.5,0.1,3.0
163,0.5955605586128518,1.098989687266781,0.08897417783737183,0.015786259031669813,0.5,0.5,0.1,3.0
164,0.5779849922689189,1.0630293423347628,0.08998957774055148,0.014755326660045809,0.5,0.5,0.1,3.0
165,0.6279407687354506,1.1608234711101986,0.09182659921697599,0.016157334779770025,0.5,0.5,0.1,3.0
166,0.6005378170052038,1.105146665241715,0.09287394231308488,0.015275125548258604,0.5,0.5,0.1,3.0
167,0.6154271333243361,1.133022441233379,0.09465747205955297,0.01587177733746175,0.5,0.5,0.1,3.0
168,0.5955147007618516,1.0924257558045278,0.09557913840018142,0.015122536065210255,0.5,0.5,0.1,3.0
169,0.5865759481141763,1.0738488722909316,0.0963292176786222,0.01486902745181692,0.5,0.5,0.1,3.0
170,0.5926896617641011,1.084503522125172,0.09782784600087345,0.015239779997048912,0.5,0.5,0.1,3.0
171,0.5971878755752213,1.092337610026603,0.09894310886118254,0.015475162253407171,0.5,0.5,0.1,3.0
172,0.6043125645995301,1.1044390252244618,0.10110905478920854,0.015385266302301775,0.5,0.5,0.1,3.0
173,0.6417052623150963,1.1759025707096866,0.10411630737797613,0.016958221917602455,0.5,0.5,0.1,3.0
174,0.6191565363030684,1.1289869200201974,0.10621169292934832,0.015572295577595872,0.5,0.5,0.1,3.0
175,0.6600774868055876,1.2068360530734867,0.1098426078595774,0.01738156404977164,0.5,0.5,0.1,3.0
176,0.6275423198093769,1.1408794441042964,0.1109102794676818,0.01647456835543136,0.5,0.5,0.1,3.0
177,0.626645112367455,1.1368985389247437,0.11299088243369954,0.0170040192841659,0.5,0.5,0.1,3.0
178,0.6574174674898989,1.193940154775756,0.11719098473005449,0.01851897951285889,0.5,0.5,0.1,3.0
179,0.6961662119779831,1.268464461190176,0.11998495993464582,0.019415004050683395,0.5,0.5,0.1,3.0
180,0.6913080126167792,1.254712584047665,0.12412670321068783,0.018883668603915996,0.5,0.5,0.1,3.0
181,0.6876486592527665,1.242438668020663,0.12910619561086623,0.018762259139565,0.5,0.5,0.1,3.0
182,0.7044816929319127,1.2718799078030143,0.1329912502072279,0.020461135183168166,0.5,0.5,0.1,3.0
183,0.7220361471658776,1.3022904422601707,0.13751918582218056,0.021313335121874465,0.5,0.5,0.1,3.0
184,0.6912906323930351,1.2378970070889121,0.14033886249329236,0.02172696778321998,0.5,0.5,0.1,3.0
185,0.7658662432038028,1.379969128310761,0.14702967462832467,0.02366842033389287,0.5,0.5,0.1,3.0
186,0.7166790875748262,1.2780369514556709,0.15080021201116353,0.02260506835071101,0.5,0.5,0.1,3.0
187,0.7729562132464729,1.3830980750230641,0.15784244207155046,0.024859531786338037,0.5,0.5,0.1,3.0
188,0.7714731742737264,1.3744792000323975,0.16332666583952474,0.02570241162183917,0.5,0.5,0.1,3.0
189,0.8102137877551812,1.4447558562443485,0.1703843645721312,0.026436778161217245,0.5,0.5,0.1,3.0
190,0.7949947315028161,1.4091741003488238,0.17524470089257327,0.02785329542320106,0.5,0.5,0.1,3.0
191,0.8339955570244113,1.478439693428405,0.1833190413219565,0.031161874605596628,0.5,0.5,0.1,3.0
192,0.8717831917780774,1.545567165663046,0.19178646412777353,0.031063768959902077,0.5,0.5,0.1,3.0
193,0.8882568098111996,1.5730642586262764,0.19687312994247827,0.03288114452470652,0.5,0.5,0.1,3.0
194,0.922990366032249,1.6316563965659714,0.2069227616434638,0.03700787722611958,0.5,0.5,0.1,3.0
195,0.9052619981540521,1.5889347905089497,0.21442521925558122,0.03581994721934943,0.5,0.5,0.1,3.0
196,0.9454745313255732,1.659312952063505,0.22378731855818457,0.03924395708812152,0.5,0.5,0.1,3.0
197,0.969514374388696,1.696087862476807,0.23475234733338943,0.040942687299932064,0.5,0.5,0.1,3.0
198,0.988530144598159,1.7251124430281912,0.24368829106190587,0.041297783552293195,0.5,0.5,0.1,3.0
199,1.0422148848513038,1.818064576540238,0.25660241094597597,0.04881388322021636,0.5,0.5,0.1,3.0
200,1.058289872409522,1.8420391935407714,0.26447133355938635,0.05034608600030222,0.5,0.5,0.1,3.0
